Group,URL
Active Data Management Plans IG,https://www.rd-alliance.org/groups/active-data-management-plans.html
Research data needs of the Photon and Neutron Science community IG,https://www.rd-alliance.org/groups/research-data-needs-photon-and-neutron-science-community.html
Chemistry Research Data IG,https://www.rd-alliance.org/groups/chemistry-research-data-interest-group.html
Geospatial IG,https://www.rd-alliance.org/groups/geospatial-ig.html
Global Water Information IG,https://www.rd-alliance.org/groups/global-water-information-interest-group.html-0
"ESIP/RDA Earth, Space, and Environmental Sciences IG",https://www.rd-alliance.org/groups/esiprda-earth-space-and-environmental-sciences-ig
Physical Samples and Collections in the Research Data Ecosystem IG,https://www.rd-alliance.org/groups/physical-samples-and-collections-research-data-ecosystem-ig
Life Science Data Infrastructures IG,https://www.rd-alliance.org/groups/life-science-data-infrastructures-ig
Biodiversity Data Integration IG,https://www.rd-alliance.org/groups/biodiversity-data-integration-ig.html
Research Data Management in Engineering IG,https://www.rd-alliance.org/groups/research-data-management-engineering-ig
"RDA/CODATA Materials Data, Infrastructure & Interoperability IG",https://www.rd-alliance.org/groups/rdacodata-materials-data-infrastructure-interoperability-ig.html
Linguistics Data IG,https://www.rd-alliance.org/groups/linguistics-data-ig
Social Science Research Data IG,https://www.rd-alliance.org/groups/social-science-research-data-ig
Data Discovery Paradigms IG,https://www.rd-alliance.org/groups/data-discovery-paradigms-ig
FAIR Digital Object Fabric IG,https://www.rd-alliance.org/group/FAIR-digital-object-fabric-ig.html
Software Source Code IG,https://www.rd-alliance.org/groups/software-source-code-ig
Skills and training curriculums to support FAIR research software IG,https://www.rd-alliance.org/groups/skills-and-training-curriculums-support-fair-research-software-ig
Health Data Interest Group,https://www.rd-alliance.org/groups/health-data.html
Data Versioning IG,https://www.rd-alliance.org/groups/data-versioning-ig
Structure of Information,https://www.rd-alliance.org/groups/structure-information
Metadata IG,https://www.rd-alliance.org/groups/metadata-ig.html
Vocabulary Services IG,https://www.rd-alliance.org/groups/vocabulary-services-interest-group.html
PID IG,https://www.rd-alliance.org/groups/pid-interest-group.html
Sharing Rewards and Credit (SHARC) IG,https://www.rd-alliance.org/groups/sharing-rewards-and-credit-sharc-ig
IG for Surveying Open Data Practices,https://www.rd-alliance.org/groups/ig-surveying-open-data-practices
Federated Identity Management IG,https://www.rd-alliance.org/groups/federated-identity-management-ig
Sensitive Data Interest Group,https://www.rd-alliance.org/groups/sensitive-data-interest-group
,
RDA Privacy Implications of Research Data Sets IG,https://www.rd-alliance.org/groups/rdaniso-privacy-implications-research-data-sets-wg.html
Small Unmanned Aircraft Systems’ Data IG,https://www.rd-alliance.org/groups/small-unmanned-aircraft-systems%E2%80%99-data-ig
Data Economics IG,https://www.rd-alliance.org/groups/data-economics-ig
FAIR Principles for Research Hardware,https://www.rd-alliance.org/groups/fair-principles-research-hardware
Data Conservation IG,https://www.rd-alliance.org/groups/data-conservation-ig
Data for Development IG,https://www.rd-alliance.org/groups/data-development.html
International Indigenous Data Sovereignty IG,https://www.rd-alliance.org/groups/international-indigenous-data-sovereignty-ig
Ethics and Social Aspects of Data IG,https://www.rd-alliance.org/groups/ethics-and-social-aspects-data.html
RDA for the Sustainable Development Goals IG,https://www.rd-alliance.org/groups/rda-sustainable-development-goals-ig
Social Dynamics of Data Interoperability IG,https://www.rd-alliance.org/groups/social-dynamics-data-interoperability-ig
Open Science Graphs for FAIR Data IG,https://www.rd-alliance.org/groups/open-science-graphs-fair-data-ig
Research Funders and Stakeholders on Open Research and Data Management Policies and Practices IG,https://www.rd-alliance.org/groups/research-funders-and-stakeholders-open-research-and-data-management-policies-and-practices-ig
GO FAIR Liaison IG,https://www.rd-alliance.org/groups/go-fair-liaison-ig
Global Open Research Commons IG,https://www.rd-alliance.org/groups/global-open-research-commons-ig
RDA/CODATA Legal Interoperability IG,https://www.rd-alliance.org/groups/rdacodata-legal-interoperability-ig.html
Data policy standardisation and implementation IG,https://www.rd-alliance.org/groups/data-policy-standardisation-and-implementation-ig
Engaging Researchers with Data IG,https://www.rd-alliance.org/groups/engaging-researchers-data-ig
Libraries for Research Data IG,https://www.rd-alliance.org/groups/libraries-research-data.html
Education and Training on Handling of Research Data IG,https://www.rd-alliance.org/groups/education-and-training-handling-research-data.html
Professionalising Data Stewardship IG,https://www.rd-alliance.org/groups/professionalising-data-stewardship-ig
Science communication for research data,https://www.rd-alliance.org/groups/science-communication-research-data
CODATA/RDA Research Data Science Schools for Low and Middle Income Countries,https://www.rd-alliance.org/groups/codatarda-research-data-science-schools-low-and-middle-income-countries
Early Career and Engagement IG,https://www.rd-alliance.org/groups/early-career-and-engagement-ig
Research Data Architectures in Research Institutions IG,https://www.rd-alliance.org/groups/research-data-architectures-research-institutions-ig
Domain Repositories IG,https://www.rd-alliance.org/groups/domain-repositories-ig.html
Virtual Research Environment IG (VRE-IG),https://www.rd-alliance.org/groups/vre-ig.html
"Preservation Tools, Techniques, and Policies",https://www.rd-alliance.org/groups/preservation-tools-techniques-and-policies
Repository Platforms for Research Data IG,https://www.rd-alliance.org/groups/repository-platforms-research-data.html
RDA/WDS Certification of Digital Repositories IG,https://www.rd-alliance.org/groups/rdawds-certification-digital-repositories-ig.html
Archives and Records Professionals for Research Data IG,https://www.rd-alliance.org/groups/archives-records-professionals-for-research-data.html
IGAD Community of Practice,https://www.rd-alliance.org/groups/igad-community-practice
Discipline-specific Guidance for Data Management Plans WG,https://www.rd-alliance.org/groups/discipline-specific-guidance-data-management-plans-wg
Exposing Data Management Plans WG,https://www.rd-alliance.org/groups/exposing-data-management-plans-wg
dmp Common Standards WG,https://www.rd-alliance.org/groups/dmp-common-standards-wg
Wheat Data Interoperability WG,https://www.rd-alliance.org/groups/wheat-data-interoperability-wg.html
Capacity Development for Agriculture Data WG,https://www.rd-alliance.org/groups/capacity-development-agriculture-data-wg
Agrisemantics WG,https://www.rd-alliance.org/groups/agrisemantics-wg.html
"Earth, Space, and Environmental Science Complex Citations Working Group",https://www.rd-alliance.org/groups/earth-space-and-environmental-science-complex-citations-working-group
"Coordinating Earth, Space, and Environmental Science Data Preservation and Scholarly Publication Processes",https://www.rd-alliance.org/groups/coordinating-earth-space-and-environmental-science-data-preservation-and-scholarly
International Materials Resource Registries WG,https://www.rd-alliance.org/groups/working-group-international-materials-resource-registries.html
FAIR Data Maturity Model WG,https://www.rd-alliance.org/groups/fair-data-maturity-model-wg
CURE-FAIR WG,https://www.rd-alliance.org/groups/cure-fair-wg
RDA/WDS Publishing Data Workflows WG,https://www.rd-alliance.org/groups/rdawds-publishing-data-workflows-wg.html
FAIR for Research Software (FAIR4RS) WG,https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg
Blockchain Applications in Health WG,https://www.rd-alliance.org/groups/blockchain-applications-health-wg
Reproducible Health Data Services WG,https://www.rd-alliance.org/groups/reproducible-health-data-services-wg
Raising FAIRness in health data and health research performing organisations (HRPOs) WG,https://www.rd-alliance.org/groups/raising-fairness-health-data-and-health-research-performing-organisations-hrpos-wg
RDA COVID-19 Epidemiology,https://www.rd-alliance.org/groups/rda-covid-19-epidemiology
RDA COVID-19,https://www.rd-alliance.org/groups/rda-covid-19
RDA-COVID19-Community-participation,https://www.rd-alliance.org/groups/rda-covid19-community-participation
RDA-COVID19-Social-Sciences,https://www.rd-alliance.org/groups/rda-covid19-social-sciences
RDA-COVID19-Clinical,https://www.rd-alliance.org/groups/rda-covid19-clinical
RDA-COVID19-Omics,https://www.rd-alliance.org/groups/rda-covid19-omics
RDA COVID19-Legal-Ethical,https://www.rd-alliance.org/groups/rda-covid19-legal-ethical
RDA-COVID19-Software,https://www.rd-alliance.org/groups/rda-covid19-software
InteroperAble Descriptions of Observable Property Terminology WG (I-ADOPT WG),https://www.rd-alliance.org/groups/interoperable-descriptions-observable-property-terminology-wg-i-adopt-wg
,
Data Citation WG,https://www.rd-alliance.org/groups/data-citation-wg.html
RDA/WDS Scholarly Link Exchange (Scholix) WG,https://www.rd-alliance.org/groups/rdawds-scholarly-link-exchange-scholix-wg
Data Granularity WG,https://www.rd-alliance.org/groups/data-granularity-wg
RDA / TDWG Metadata Standards for attribution of physical and digital collections stewardship,https://www.rd-alliance.org/groups/metadata-standards-attribution-physical-and-digital-collections-stewardship.html
Metadata Standards Catalog WG,https://www.rd-alliance.org/groups/metadata-standards-catalog-working-group.html
Research Metadata Schemas WG,https://www.rd-alliance.org/groups/research-metadata-schemas-wg
Persistent Identification of Instruments WG,https://www.rd-alliance.org/groups/persistent-identification-instruments-wg
National PID Strategies WG,https://www.rd-alliance.org/groups/national-pid-strategies-wg
Data Usage Metrics WG,https://www.rd-alliance.org/groups/data-usage-metrics-wg
Preserving Scientific Annotation WG,https://www.rd-alliance.org/groups/preserving-scientific-annotation-wg
,
"FAIRsharing Registry: Connecting data policies, standards and databases RDA WG",https://www.rd-alliance.org/group/fairsharing-registry-connecting-data-policies-standards-databases.html
GORC International Model WG,https://www.rd-alliance.org/groups/gorc-international-model-wg
Working Group on Ethical and Legal best practices for Drone Data in a global research context (WELDD),https://www.rd-alliance.org/groups/working-group-ethical-and-legal-best-practices-drone-data-global-research-context-weldd
Brokering Framework Working Group,https://www.rd-alliance.org/groups/brokering-framework-working-group.html
RDA/CODATA Summer Schools in Data Science and Cloud Computing in the Developing World WG,https://www.rd-alliance.org/groups/rdacodata-summer-schools-data-science-and-cloud-computing-developing-world.html
CoreTrustSeal Maintenance WG,https://www.rd-alliance.org/groups/coretrustseal-maintenance-wg
Data Repository Attributes WG,https://www.rd-alliance.org/groups/data-repository-attributes-wg
FAIR for Virtual Research Environments WG,https://www.rd-alliance.org/groups/fair-virtual-research-environments-wg
Psychological Data Community of Practice,https://www.rd-alliance.org/groups/psychological-data-community-practice
Neuroimaging Community of Practice,https://www.rd-alliance.org/groups/neuroimaging-community-practice
